N,lr,sr,set_n,KL,entropy
400,0.85,0.8,1,0.8542347815849965,4.8391115283118475
400,0.85,0.8,1,0.10453160313555161,4.573301365287888
400,0.85,0.8,1,1.1018111905354646,4.91711893354708
400,0.85,0.8,1,0.15207774128740265,4.575654687299956
400,0.85,0.8,1,0.34402244091127127,4.776743016327558
400,0.85,0.8,1,0.006504648205007517,4.505475566271496
400,0.85,0.8,1,0.4541730735495373,4.732484722427149
400,0.85,0.8,1,0.08189796277032943,4.6250423829357
400,0.85,0.8,1,0.10645999628637888,4.67964869173937
400,0.85,0.8,1,0.3944886193384776,4.794236358966551
400,0.85,0.8,1,1.4771417298036569,4.9328037115132854
400,0.85,0.8,1,0.037449650516351365,4.578070667051768
400,0.85,0.9,2,0.3984044513506455,4.765073384445478
400,0.85,0.9,2,2.211799152483069,4.9672495223837165
400,0.85,0.9,2,0.04464954864204895,4.721358510193234
400,0.85,0.9,2,1.7183757169398466,4.981870595532992
400,0.85,0.9,2,1.4456191980227666,4.988277395752331
400,0.85,0.9,2,0.8221099316571348,4.859181855135965
400,0.85,0.9,2,0.4631132713394167,4.73693046840222
400,0.85,0.9,2,0.12272559502995337,4.569704269657745
400,0.85,0.9,2,0.08400712019859455,4.425749319609039
400,0.85,0.9,2,0.42379830346570135,4.735960215408028
400,0.85,0.9,2,0.43826756948351026,4.6708161685686616
400,0.85,0.9,2,0.35890110252470697,4.765713141044134
400,0.85,0.9,2,0.66132318251875,4.7984146389164355
400,0.85,0.9,2,2.3843360217242164,4.987907144150455
400,0.85,0.9,2,0.13450075711826384,4.6072561812142485
400,0.85,0.9,2,1.0663055059052835,4.878153540819907
400,0.85,0.9,2,1.3395662043678658,4.975313234079097
400,0.85,0.9,2,0.7395104982929921,4.812270265871779
400,0.85,0.9,2,0.8293126074912116,4.875879715224517
400,0.85,0.9,2,0.2530925435080793,4.696465642685113
400,0.85,0.9,2,1.595420159801451,4.89821313921527
400,0.85,0.9,2,2.0276071163247047,5.017783019383545
400,0.85,0.9,2,1.8038967842117613,5.057257785636853
400,0.85,0.9,2,0.25115691137253204,4.733826901323555
400,0.85,0.9,2,0.38334437956325557,4.614393848128476
400,0.85,0.9,2,0.8940154043800053,4.875829821596467
400,0.85,0.9,2,0.5940640008232286,4.829147303747846
400,0.85,0.9,2,0.4889951811577443,4.819089653233245
400,0.85,0.9,2,3.194861216864018,4.975211509319527
400,0.85,0.9,2,0.017461031443535634,4.464808544780434
400,0.85,0.9,2,0.0727849087908877,4.699403564401769
400,0.85,0.9,2,0.6184409618361364,4.8294591991340745
400,0.85,0.9,2,0.4902986596143431,4.7994920287471174
400,0.85,0.9,2,1.3016562807564158,4.907024489086564
400,0.85,0.9,2,0.18623259604741152,4.708024764118402
400,0.85,0.9,2,0.15936383486950145,4.653632477858878
400,0.85,0.9,2,1.0903011453356692,4.865192071691573
400,0.85,0.9,2,0.003856709619068059,4.5622678503127725
400,0.85,0.9,2,0.10986599513259486,4.694558077467207
400,0.85,0.9,2,0.33352310190969875,4.708924769281265
400,0.85,0.9,2,0.11136511649484813,4.667797494081437
400,0.85,0.9,2,2.802287358574996,4.969492041971362
400,0.85,0.9,2,0.026130883581079775,4.615274581663413
400,0.85,0.9,2,0.5672341747608091,4.736587733716561
400,0.85,0.9,2,0.5927436938693545,4.809902215921195
400,0.85,0.9,2,1.3004483776039868,4.866383974562562
400,0.85,0.9,2,1.0033181667392879,4.86940265414358
400,0.85,0.9,2,1.5303033782704556,4.897097474789445
400,0.85,0.9,2,0.5730430078196003,4.797823866288313
400,0.85,0.9,2,1.1333179194278098,4.940133125918045
400,0.85,0.9,2,2.2293583296203465,4.977783292880917
400,0.85,0.9,2,0.7063879456847955,4.738758394785932
400,0.85,0.9,2,2.2148557733875522,4.921899140758346
400,0.85,0.9,2,0.5505218252162272,4.794268997504458
400,0.85,0.9,2,1.1656122569878282,4.943525666917328
400,0.85,0.9,2,1.2615096712152118,4.904391410868884
400,0.85,0.9,2,2.011481519323643,5.009123061081717
400,0.85,0.9,2,1.005523510025706,4.912638894958942
400,0.85,0.9,2,0.47890851182125943,4.841405396249806
400,0.85,0.9,2,0.12348010862000736,4.635475797493115
400,0.85,0.9,2,0.5198963017433829,4.8102957893847105
400,0.85,0.9,2,2.2711888819344357,5.047067980292586
400,0.85,0.9,2,1.2771714608169304,4.9191660802122925
400,0.85,0.9,2,1.3667195867574438,4.927457960165725
400,0.85,0.9,2,0.5410277862913067,4.74104205605265
400,0.85,0.9,2,0.9898399346926634,4.904850739217008
400,0.85,0.9,2,0.9695767086977509,4.881453310265253
400,0.85,0.9,2,0.0205303047353318,4.636781698667971
400,0.85,0.9,2,0.23759170645433425,4.750969924653133
400,0.85,0.9,2,2.0845048991154274,5.019078483960093
400,0.85,0.9,2,1.0921531394861619,4.814274953359404
400,0.85,0.9,2,1.6806811489268632,4.993667874005887
400,0.85,0.9,2,0.22459359356739794,4.750502214021125
400,0.85,0.9,2,1.819479956852729,5.024886059159517
400,0.85,0.9,2,1.5926943179205497,4.954671030447836
400,0.85,0.9,2,0.14916320752473441,4.586000301134646
400,0.85,0.9,2,1.5106631103864223,4.896873078228266
400,0.85,0.9,2,0.24933656547164795,4.741809809388162
400,0.85,0.9,2,1.550978769561263,4.923417188225575
400,0.85,0.9,2,1.1202027242468544,4.885754192674141
400,0.85,0.9,2,0.15827616802861258,4.783883339760098
400,0.85,0.9,2,0.34852256927742425,4.712640421256893
400,0.85,0.9,2,0.029317237961454808,4.614285645640099
400,0.85,0.9,2,0.4027716716546647,4.71929167366332
400,0.85,0.9,2,0.8947272122253458,4.734062022790528
400,0.85,0.9,2,0.006724522226224661,4.585680302753762
400,0.85,0.9,2,0.12247522391414842,4.6843265974292425
400,0.85,0.9,2,0.3995939804869461,4.761236685081104
400,0.85,0.9,2,0.9827995150581945,4.8849801076861255
400,0.85,0.9,2,1.0875559013942753,4.933346515886285
400,0.85,0.9,2,1.0535690100652244,4.834987153853763
400,0.85,0.9,2,0.8805733616318034,4.912571753971447
400,0.85,0.9,2,0.08797910090240108,4.674177688789488
400,0.85,0.9,2,0.3674202930396189,4.717688199254724
400,0.85,0.9,2,0.11758103618542626,4.623303037340414
400,0.85,0.9,2,0.12254687240419912,4.639361301902651
400,0.85,0.9,2,1.378932464105643,4.922200335237287
400,0.85,0.9,2,1.354448221302126,4.912367492517523
400,0.85,0.9,2,0.6758572935241702,4.816456418105519
400,0.85,0.9,2,2.902681611101292,5.050570349844223
400,0.85,1.0,3,1.0838288130070324,4.923633643515015
400,0.85,1.0,3,0.17331021517186243,4.753966186119118
