N,lr,sr,set_n,KL,entropy
400,1.0,1.1,29,1.6984746886886442,4.999347668621957
400,1.0,1.1,29,0.2736948872266415,4.753976166833
400,1.0,1.1,29,0.08853908554111671,4.508185997594698
400,1.0,1.2,30,0.20959214384770025,4.717582532356875
400,1.0,1.2,30,0.14501291924174983,4.7448607173139825
400,1.0,1.2,30,0.8412973107108201,4.838899797187802
400,1.0,1.2,30,0.033698954776444925,4.57742673929013
400,1.0,1.2,30,0.03452488123618206,4.549780181578169
400,1.0,1.2,30,0.020753105757971624,4.594827408174698
400,1.0,1.2,30,0.0031807214993711643,4.551148999527982
400,1.0,1.2,30,0.3677461224819466,4.745056408808353
400,1.0,1.2,30,0.050756769009407156,4.676961547551146
400,1.0,1.2,30,0.025705183094902308,4.6062221321905925
500,0.85,0.8,31,0.06308975788252721,4.62226584335505
500,0.85,0.8,31,1.9364946401701397,4.923069175417341
500,0.85,0.8,31,0.38980555343015333,4.751025943277488
500,0.85,0.8,31,0.024862814716871608,4.484106759409038
500,0.85,0.8,31,0.17977712331879264,4.5667506941721125
500,0.85,0.8,31,0.3619039696856711,4.647836801404763
500,0.85,0.8,31,0.4085271198413519,4.6942979060788845
500,0.85,0.8,31,0.06988376645008187,4.565713210430318
500,0.85,0.8,31,0.9586730386384159,4.857520353308768
500,0.85,0.8,31,0.449334014807387,4.7432585802646985
500,0.85,0.9,32,0.776378228271988,4.837668377246709
500,0.85,0.9,32,1.0516546293633364,4.939766311954312
500,0.85,0.9,32,1.2117775050918795,4.852694908261656
500,0.85,0.9,32,1.7380834790485968,4.915432393741514
500,0.85,0.9,32,0.28842390125399087,4.7839349953344295
500,0.85,0.9,32,1.81601741462406,4.964968346158455
500,0.85,0.9,32,0.5875868033817238,4.776283575620039
500,0.85,0.9,32,0.4989368083681125,4.769442950641682
500,0.85,0.9,32,0.3553684462355121,4.73977992400057
500,0.85,0.9,32,0.4160106800750254,4.7407076027965545
500,0.85,1.0,33,0.6284241542357815,4.741575283093324
500,0.85,1.0,33,0.03393921767734203,4.518015636177407
500,0.85,1.0,33,0.6421407005002168,4.7632399402293295
500,0.85,1.0,33,2.126139661066505,5.054337540487221
500,0.85,1.0,33,0.0553610980866573,4.684518528001362
500,0.85,1.0,33,0.8626283433213668,4.8628566132790665
500,0.85,1.0,33,1.9697596866669673,4.968252203898805
500,0.85,1.0,33,0.8071380102660661,4.86266365782314
500,0.85,1.0,33,0.1643003292459236,4.707160165592039
500,0.85,1.0,33,0.40939835686047105,4.774759592618738
500,0.85,1.1,34,0.49066966696698733,4.720589894560562
500,0.85,1.1,34,0.4831862360365876,4.809507548474972
500,0.85,1.1,34,0.09834559232651512,4.636567563403942
500,0.85,1.1,34,0.6076481398083284,4.787861348040144
500,0.85,1.1,34,0.9973644996934032,4.867051372850654
500,0.85,1.1,34,2.692617142820695,5.100948660362771
500,0.85,1.1,34,1.098171391090357,4.859641112195572
500,0.85,1.1,34,0.3411310621056728,4.67748306746717
500,0.85,1.1,34,0.2217326673875713,4.634744802985745
500,0.85,1.1,34,0.8645009921997736,4.875448564344076
500,0.85,1.2,35,0.5822920062619374,4.821182469461944
500,0.85,1.2,35,2.1118559070644976,5.0165086226038325
500,0.85,1.2,35,2.0448890825759705,4.970416394244599
500,0.85,1.2,35,0.21840663896907656,4.707502293411364
500,0.85,1.2,35,1.4738811251982775,4.980963757912491
500,0.85,1.2,35,1.022282259728104,4.915316293027824
500,0.85,1.2,35,1.7704192590455607,5.016255229322004
500,0.85,1.2,35,0.6093497340934406,4.862892446570546
500,0.85,1.2,35,2.834692799846783,5.067028109860463
500,0.85,1.2,35,0.484410515830056,4.774950483790008
500,0.88,0.8,36,0.19606767621256782,4.604679832142732
500,0.88,0.8,36,0.013322958794781112,4.501529677445164
500,0.88,0.8,36,0.535860643602605,4.831737990519077
500,0.88,0.8,36,0.055337398843222876,4.588957663640121
500,0.88,0.8,36,0.11085684042644733,4.492015882898464
500,0.88,0.8,36,0.0050876584134141745,4.485616554915172
500,0.88,0.8,36,0.2181787782349978,4.732216093335069
500,0.88,0.8,36,0.8180809390189738,4.84057339256728
500,0.88,0.8,36,1.6633511152596554,4.908479669740393
500,0.88,0.8,36,0.08268877259931336,4.668034883625046
500,0.88,0.9,37,0.6509939097287577,4.729209972612693
500,0.88,0.9,37,0.3924483881113334,4.768850032348908
500,0.88,0.9,37,1.03851826561286,4.864124572705823
500,0.88,0.9,37,0.010732812062575349,4.598409189771957
500,0.88,0.9,37,1.7791117289307097,5.000884988398802
500,0.88,0.9,37,0.062092848471361664,4.550166999333134
500,0.88,0.9,37,0.41937350047158384,4.8134279396383635
500,0.88,0.9,37,0.4720964412677776,4.782218570645775
500,0.88,0.9,37,0.22482867500776016,4.700622639868076
500,0.88,0.9,37,0.024982841115911893,4.602122693429687
500,0.88,1.0,38,0.6848053108400711,4.849925390588161
500,0.88,1.0,38,0.22594352381759605,4.766388703202908
500,0.88,1.0,38,0.7307414684938255,4.854806681495292
500,0.88,1.0,38,0.261835187089859,4.689165429116928
500,0.88,1.0,38,0.6415516823912939,4.81458354555047
500,0.88,1.0,38,0.30824484940057567,4.749406349167426
500,0.88,1.0,38,2.5435759182935054,5.085768770612113
500,0.88,1.0,38,0.9460723169538385,4.849241486621276
500,0.88,1.0,38,1.5012382163771354,4.982421200299676
500,0.88,1.0,38,0.2832235695454157,4.788537316136221
500,0.88,1.1,39,0.2417486233507431,4.723491904249359
500,0.88,1.1,39,0.17665498088593395,4.681120252742936
500,0.88,1.1,39,0.7434579972917497,4.76437082265922
500,0.88,1.1,39,1.7784275072956461,4.982630182671661
500,0.88,1.1,39,0.05055827006902058,4.647822314822518
500,0.88,1.1,39,0.24262860406505282,4.587150877233493
500,0.88,1.1,39,0.8028412411149699,4.822586225849121
500,0.88,1.1,39,1.481544352185518,5.037259836864822
500,0.88,1.1,39,0.929862107826549,4.991151996937017
500,0.88,1.1,39,0.6491257471773039,4.859101903512086
500,0.88,1.2,40,0.7760680240166383,4.889543698939814
500,0.88,1.2,40,0.5651994168400432,4.853432600385997
500,0.88,1.2,40,0.5711935585828072,4.822752178772186
500,0.88,1.2,40,0.8774706851827201,4.853023855932847
500,0.88,1.2,40,0.9631793769013509,4.861464194163438
500,0.88,1.2,40,0.7669296067717597,4.859126227455219
500,0.88,1.2,40,1.3722432387898102,4.926839632961912
500,0.88,1.2,40,1.5649717447454323,4.950713962233198
500,0.88,1.2,40,0.8263510683432997,4.85450830907806
500,0.88,1.2,40,1.7672436959312934,4.974793364886575
500,0.91,0.8,41,0.4335390485466979,4.691572031972521
500,0.91,0.8,41,0.010525556862494652,4.584440291238771
500,0.91,0.8,41,0.2880867998933472,4.735527336934664
500,0.91,0.8,41,1.8109935428150798,4.957468681149422
500,0.91,0.8,41,0.011258621507354825,4.506581032386945
500,0.91,0.8,41,2.106417298646931,4.953779806830417
500,0.91,0.8,41,1.2075119592731054,4.887812106653029
500,0.91,0.8,41,1.025099229269381,4.88224258661502
